RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Property 1	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Video Time [h:m:s:ms]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
712258.0	13:36:19:664	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	1	4.5	621.0	460.3	623.9	576.0	0.1	-0.2	1.0	00:00:00:083	-	-	-	-	-	-	-	-
712291.1	13:36:19:697	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	1	4.5	619.3	460.7	621.7	575.2	0.1	-0.2	1.0	00:00:00:125	-	-	-	-	-	-	-	-
712324.4	13:36:19:730	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	1	4.5	620.6	460.1	623.4	575.0	0.1	-0.2	1.0	00:00:00:125	-	-	-	-	-	-	-	-
712357.7	13:36:19:764	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	1	4.5	618.6	455.2	621.5	570.4	0.1	-0.2	1.0	00:00:00:167	-	-	-	-	-	-	-	-
712391.1	13:36:19:797	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	1	4.5	616.4	454.4	619.6	570.3	0.1	-0.2	1.0	00:00:00:250	-	-	-	-	-	-	-	-
712424.3	13:36:19:830	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	1	4.5	616.8	455.9	618.9	571.6	0.1	-0.2	1.0	00:00:00:250	-	-	-	-	-	-	-	-
712457.5	13:36:19:864	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	1	4.5	618.8	453.4	619.4	571.7	0.1	-0.2	1.0	00:00:00:292	-	-	-	-	-	-	-	-
712490.8	13:36:19:897	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	1	4.5	619.8	454.5	619.9	572.8	0.1	-0.2	1.0	00:00:00:333	-	-	-	-	-	-	-	-
712524.1	13:36:19:930	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	-	-	4.5	625.0	453.8	626.7	571.3	0.1	-0.2	1.0	00:00:00:333	-	-	-	-	-	-	-	-
712557.4	13:36:19:963	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	1	4.5	632.7	431.1	625.2	558.2	0.1	-0.1	1.0	00:00:00:375	-	-	-	-	-	-	-	-
712590.7	13:36:19:997	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	1	4.5	644.4	398.4	627.9	530.3	0.1	-0.1	1.0	00:00:00:417	-	-	-	-	-	-	-	-
712624.0	13:36:20:030	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	2	4.6	646.1	396.2	630.5	527.4	0.1	-0.1	1.0	00:00:00:458	-	-	-	-	-	-	-	-
